 ;Anzahl von BPMN Dateien;Duplizierungen;Prozentsatz
1;653;2;30.715
2;454;3;21.3547
3;328;8;15.428
4;188;7;8.8429
5;166;6;7.8081
6;145;4;6.8203
7;87;5;4.0922
8;26;1;1.223
9;13;16;0.6115
10;11;9;0.5174
11;11;14;0.5174
12;8;12;0.3763
13;6;28;0.2822
14;5;10;0.2352
15;4;18;0.1881
16;3;15;0.1411
17;2;11;0.0941
18;2;22;0.0941
19;2;24;0.0941
20;1;68;0.047
21;1;29;0.047
22;1;61;0.047
23;1;13;0.047
24;1;40;0.047
25;1;49;0.047
26;1;90;0.047
27;1;19;0.047
28;1;20;0.047
29;1;30;0.047
30;1;23;0.047
31;1;35;0.047
32;0;Andere;0.0
